iter	Passed	Remaining
536	11210	9665
537	11233	9646
538	11275	9643
539	11298	9624
540	11348	9628
541	11391	9625
542	11412	9605
543	11437	9587
544	11468	9574
545	11517	9576
546	11537	9555
547	11554	9530
548	11571	9506
549	11589	9482
550	11604	9456
551	11621	9432
552	11639	9408
553	11656	9383
554	11674	9360
555	11691	9336
556	11707	9311
557	11724	9287
558	11742	9263
559	11758	9238
560	11778	9216
561	11798	9194
562	11819	9173
563	11840	9152
564	11866	9135
565	11884	9113
566	11905	9091
567	11923	9068
568	11943	9046
569	11963	9024
570	11988	9007
571	12012	8988
572	12032	8966
573	12051	8944
574	12070	8921
575	12088	8898
576	12104	8873
577	12121	8849
578	12139	8826
579	12162	8806
580	12182	8785
581	12198	8761
582	12216	8738
583	12233	8714
584	12251	8691
585	12274	8671
586	12318	8666
587	12362	8662
588	12393	8648
589	12413	8626
590	12429	8601
591	12453	8582
592	12470	8558
593	12494	8540
594	12515	8519
595	12531	8494
596	12547	8470
597	12561	8444
598	12576	8419
599	12597	8398
600	12621	8379
601	12642	8358
602	12659	8334
603	12674	8310
604	12700	8292
605	12717	8268
606	12734	8245
607	12753	8222
608	12769	8198
609	12796	8181
610	12820	8162
611	12838	8139
612	12856	8116
613	12874	8093
614	12893	8071
615	12910	8048
616	12928	8025
617	12948	8003
618	12966	7980
619	12983	7957
620	13007	7938
621	13031	7919
622	13049	7896
623	13066	7873
624	13084	7850
625	13103	7828
626	13121	7805
627	13142	7784
628	13162	7763
629	13182	7742
630	13201	7719
631	13220	7697
632	13239	7675
633	13258	7653
634	13287	7637
635	13312	7619
636	13332	7597
637	13353	7576
638	13371	7554
639	13391	7532
640	13409	7510
641	13443	7496
642	13465	7476
643	13493	7459
644	13537	7450
645	13579	7441
646	13607	7424
647	13633	7405
648	13654	7384
649	13673	7362
650	13708	7349
651	13738	7332
652	13771	7318
653	13824	7313
654	14013	7380
655	14315	7506
656	14364	7499
657	14426	7498
658	14453	7479
659	14494	7466
660	14516	7445
661	14586	7447
662	14632	7437
