,"total_population_cvd_death_rate_per_100,000_residents_cdc_2016_2021"
827,241.86666666666667
828,197.16666666666666
829,205.5
830,229.70000000000002
831,227.4
832,222.0
833,248.4666666666667
834,298.76666666666665
835,235.96666666666667
836,214.33333333333334
837,215.29999999999998
838,224.86666666666667
839,194.46666666666667
840,243.0666666666667
841,193.63333333333335
842,200.5666666666667
843,228.13333333333335
844,219.33333333333334
845,277.03333333333336
846,193.23333333333335
847,208.66666666666666
848,245.76666666666665
849,168.83333333333334
850,199.46666666666667
851,263.8666666666666
852,221.03333333333333
853,277.86666666666673
854,190.39999999999998
855,251.36666666666667
856,295.6333333333333
857,271.23333333333335
858,272.73333333333335
859,212.66666666666666
860,207.9
861,185.9666666666667
862,235.23333333333335
863,213.16666666666666
864,154.63333333333333
865,235.5
866,213.70000000000002
867,226.63333333333333
868,213.9
869,257.0
870,216.9666666666667
871,221.6
872,224.23333333333332
873,153.96666666666667
874,166.0
875,234.5666666666667
876,245.63333333333333
877,238.5
878,260.76666666666665
879,275.40000000000003
880,226.69999999999996
881,202.29999999999998
882,262.3
883,263.0
884,219.1
885,195.4
886,213.66666666666666
887,210.19999999999996
888,239.5666666666667
889,261.76666666666665
890,238.29999999999998
891,236.9333333333333
892,302.9
893,223.5
894,262.1333333333333
895,281.5333333333333
896,231.13333333333333
897,233.53333333333333
898,272.0333333333333
899,330.6666666666667
900,176.6
901,242.23333333333335
902,202.66666666666666
903,246.29999999999998
904,249.63333333333333
905,275.1333333333333
906,248.63333333333333
907,274.5
908,210.53333333333333
909,236.0666666666667
910,243.76666666666665
911,189.4
912,241.6
913,256.0
914,197.33333333333334
915,221.16666666666666
916,168.2
917,233.06666666666663
918,248.76666666666665
919,304.6333333333333
920,201.29999999999998
921,206.5666666666667
922,192.5666666666667
923,190.4
924,207.26666666666665
925,238.20000000000002
926,211.79999999999998
927,251.5666666666667
928,226.20000000000002
929,191.9333333333333
930,228.4666666666667
931,236.4
932,208.76666666666665
933,230.79999999999998
934,181.9
935,171.23333333333335
936,309.2
937,246.5
938,293.59999999999997
939,188.5666666666667
940,217.5333333333333
941,209.76666666666665
942,252.16666666666666
943,183.76666666666665
944,226.73333333333335
945,222.23333333333335
946,196.46666666666667
947,210.66666666666666
948,233.5666666666667
949,206.43333333333337
950,239.86666666666665
951,315.6666666666667
952,231.4666666666667
953,275.5333333333333
954,191.26666666666665
955,268.1333333333333
956,200.63333333333333
957,205.6
958,227.6
959,211.6
960,214.16666666666666
961,228.96666666666667
962,206.29999999999998
963,204.76666666666665
964,237.03333333333333
965,200.5666666666667
966,213.9333333333333
967,224.73333333333335
968,223.63333333333335
