,statecounty,allrace_cvd_mortality_per_100k_2018_2020,api_cvd_mortality_per_100k_2018_2020
245,08Adams County,266.1,148.8
246,08Alamosa County,288.8,
247,08Arapahoe County,220.9,134.2
248,08Archuleta County,258.2,
249,08Baca County,296.9,
250,08Bent County,369.9,
251,08Boulder County,211.5,82.7
252,08Broomfield County,221.5,176.7
253,08Chaffee County,206.5,
254,08Cheyenne County,296.9,
255,08Clear Creek County,214.5,119.7
256,08Conejos County,273.6,
257,08Costilla County,224.3,
258,08Crowley County,275.7,152.8
259,08Custer County,262.1,
260,08Delta County,323.7,
261,08Denver County,264.3,129.0
262,08Dolores County,245.1,
263,08Douglas County,178.3,133.2
264,08Eagle County,97.6,
265,08Elbert County,206.7,134.8
266,08El Paso County,274.3,147.4
267,08Fremont County,302.5,144.6
268,08Garfield County,262.7,
269,08Gilpin County,232.5,97.8
270,08Grand County,167.4,79.8
271,08Gunnison County,240.9,
272,08Hinsdale County,228.6,
273,08Huerfano County,268.2,
274,08Jackson County,214.5,
275,08Jefferson County,261.0,127.8
276,08Kiowa County,362.1,
277,08Kit Carson County,273.3,
278,08Lake County,129.9,
279,08La Plata County,250.0,
280,08Larimer County,224.9,92.8
281,08Las Animas County,261.9,
282,08Lincoln County,281.9,
283,08Logan County,259.5,
284,08Mesa County,328.2,
285,08Mineral County,226.3,
286,08Moffat County,315.5,
287,08Montezuma County,254.0,
288,08Montrose County,284.0,
289,08Morgan County,253.6,165.3
290,08Otero County,404.2,
291,08Ouray County,179.9,
292,08Park County,184.8,135.6
293,08Phillips County,282.3,
294,08Pitkin County,93.4,
295,08Prowers County,329.6,
296,08Pueblo County,256.7,136.7
297,08Rio Blanco County,274.2,
298,08Rio Grande County,272.1,
299,08Routt County,128.5,
300,08Saguache County,223.9,
301,08San Juan County,215.3,
302,08San Miguel County,118.9,
303,08Sedgwick County,279.5,
304,08Summit County,76.6,
305,08Teller County,241.9,143.6
306,08Washington County,246.6,
307,08Weld County,235.5,132.7
308,08Yuma County,279.1,
309,09Fairfield County,249.5,118.8
310,09Hartford County,283.2,163.3
311,09Litchfield County,267.0,119.2
312,09Middlesex County,276.5,116.5
313,09New Haven County,280.2,108.8
314,09New London County,280.0,129.4
315,09Tolland County,297.4,188.2
316,09Windham County,332.8,135.1
317,11District of Columbia County,352.3,137.8
318,10Kent County,341.7,120.0
319,10New Castle County,291.6,120.0
320,10Sussex County,305.5,163.4
321,12Alachua County,243.2,118.2
322,12Baker County,317.0,142.3
323,12Bay County,348.6,168.7
324,12Bradford County,307.2,120.0
325,12Brevard County,306.7,151.5
326,12Broward County,264.9,162.1
327,12Calhoun County,359.1,180.9
328,12Charlotte County,217.0,104.3
329,12Citrus County,399.9,160.8
330,12Clay County,278.4,128.8
331,12Collier County,161.4,148.0
332,12Columbia County,301.9,119.5
333,12DeSoto County,224.3,107.1
334,12Dixie County,302.2,
335,12Duval County,330.5,132.9
336,12Escambia County,333.8,160.1
337,12Flagler County,279.3,118.8
338,12Franklin County,340.9,
339,12Gadsden County,315.0,
340,12Gilchrist County,271.0,112.4
341,12Glades County,240.5,129.3
342,12Gulf County,348.7,
343,12Hamilton County,326.4,
344,12Hardee County,283.1,147.9
345,12Hendry County,331.0,144.6
346,12Hernando County,335.2,144.7
347,12Highlands County,290.5,169.0
348,12Hillsborough County,311.9,151.1
349,12Holmes County,521.0,
350,12Indian River County,262.8,166.6
351,12Jackson County,386.2,208.6
352,12Jefferson County,306.4,
353,12Lafayette County,385.4,
354,12Lake County,297.7,165.9
355,12Lee County,214.4,100.6
356,12Leon County,281.5,113.8
357,12Levy County,345.4,140.6
